Execution_Id,Developer,LLM,Story_Points,Prompt_Iterations,Corrective_Prompts,Context_Prompts,Modified_Files,Validation_Detected,Manual_Corrections,Actual_Time_Min
1,Dev1,GPT-4o,1,22,5,5,3,15,33,42
2,Dev2,GPT-4o,4,22,5,5,3,17,36,111
3,Dev3,GPT-4o,24,76,17,20,8,39,72,420
4,Dev4,GPT-4o,8,30,5,6,4,22,48,130
5,Dev5,GPT-4o,1,20,5,5,3,15,33,17
6,Dev6,GPT-4o,5,26,5,5,5,21,39,83
7,Dev7,GPT-4o,9,38,6,6,5,26,51,190
8,Dev8,GPT-4o,2,22,5,5,3,16,33,55
9,Dev9,GPT-4o,1,20,5,5,3,16,30,25
10,Dev10,GPT-4o,1,20,5,5,4,15,30,25
11,Dev11,GPT-4o,3,20,4,6,4,18,36,52
12,Dev12,GPT-4o,2,20,5,5,4,16,33,63
13,Dev13,GPT-4o,2,22,5,5,5,15,33,57
14,Dev14,GPT-4o,2,20,5,6,4,17,36,69
15,Dev15,GPT-4o,1,22,4,5,3,15,30,21
16,Dev16,GPT-4o,2,22,5,6,5,16,33,46
17,Dev17,GPT-4o,3,24,5,5,4,18,36,73
18,Dev18,GPT-4o,1,20,5,8,4,15,33,27
19,Dev19,GPT-4o,5,26,3,5,4,18,42,122
20,Dev20,GPT-4o,3,24,5,5,4,18,36,60
21,Dev21,GPT-4o,1,24,6,6,4,16,30,18
22,Dev22,GPT-4o,2,22,5,5,4,17,33,44
23,Dev1,GPT-4o,3,22,5,9,3,16,36,81
24,Dev2,GPT-4o,2,22,4,5,3,16,33,36
25,Dev3,GPT-4o,2,20,5,5,4,16,33,61
26,Dev4,GPT-4o,4,24,5,5,4,18,36,117
27,Dev5,GPT-4o,1,20,5,5,5,16,30,26
28,Dev6,GPT-4o,3,24,5,5,4,18,36,62
29,Dev7,GPT-4o,1,20,5,5,3,15,30,13
30,Dev8,GPT-4o,1,20,4,8,3,15,30,18
31,Dev9,GPT-4o,1,20,5,5,4,15,33,18
32,Dev10,GPT-4o,2,22,4,5,3,15,36,56
33,Dev11,GPT-4o,2,22,5,5,4,16,33,53
34,Dev12,GPT-4o,1,20,3,8,3,15,33,14
35,Dev13,GPT-4o,3,22,4,5,4,17,36,60
36,Dev14,GPT-4o,2,24,5,9,5,16,36,42
37,Dev15,GPT-4o,1,20,5,5,3,16,30,25
38,Dev16,GPT-4o,3,24,4,6,3,17,39,70
39,Dev17,GPT-4o,5,28,5,5,3,22,39,210
40,Dev18,GPT-4o,2,22,5,5,5,17,36,67
41,Dev19,GPT-4o,2,20,5,5,3,15,36,66
42,Dev20,GPT-4o,1,22,5,5,3,16,30,44
43,Dev21,GPT-4o,3,24,5,5,4,19,36,71
44,Dev22,GPT-4o,4,24,5,6,4,18,36,84
45,Dev1,GPT-4o,1,20,5,5,4,15,30,27
46,Dev2,GPT-4o,5,28,5,5,4,21,42,151
47,Dev3,GPT-4o,1,20,5,5,5,15,30,20
48,Dev4,GPT-4o,2,22,5,6,3,15,33,39
49,Dev5,GPT-4o,3,24,5,5,2,16,36,59
50,Dev6,GPT-4o,2,22,6,5,4,15,33,43
51,Dev7,GPT-4o,2,20,5,5,3,15,36,69
52,Dev8,GPT-4o,1,20,5,6,3,15,33,23
53,Dev9,GPT-4o,4,24,5,5,4,19,39,122
54,Dev10,GPT-4o,2,22,5,5,3,17,30,37
55,Dev11,GPT-4o,1,24,5,8,3,16,30,17
56,Dev12,GPT-4o,3,22,5,5,4,17,39,88
57,Dev13,GPT-4o,4,26,5,5,5,20,42,134
58,Dev14,GPT-4o,4,24,5,6,3,19,39,128
59,Dev15,GPT-4o,5,28,5,5,4,20,45,131
60,Dev16,GPT-4o,3,22,5,5,4,18,39,91
61,Dev17,GPT-4o,3,22,5,5,3,18,36,103
62,Dev18,GPT-4o,1,20,5,5,4,15,30,37
63,Dev19,GPT-4o,8,38,5,6,4,24,51,339
64,Dev20,GPT-4o,13,60,10,12,8,34,66,289
65,Dev21,GPT-4o,8,36,5,6,6,25,51,173
66,Dev22,GPT-4o,4,24,5,5,3,18,39,88
67,Dev1,GPT-4o,4,24,5,5,3,19,39,119
68,Dev2,GPT-4o,2,22,5,8,3,16,33,38
69,Dev3,GPT-4o,3,22,5,6,4,16,39,101
70,Dev4,GPT-4o,2,22,5,5,4,17,30,40
71,Dev5,GPT-4o,3,24,5,6,4,17,36,92
72,Dev6,GPT-4o,5,28,5,5,5,19,39,117
73,Dev7,GPT-4o,10,44,6,8,6,27,57,305
74,Dev8,GPT-4o,1,20,5,5,4,15,30,24
75,Dev9,GPT-4o,2,22,5,5,3,16,30,52
76,Dev10,GPT-4o,10,44,7,9,7,28,57,234
77,Dev11,GPT-4o,3,22,5,5,4,18,39,92
78,Dev12,GPT-4o,1,20,5,5,3,15,30,18
79,Dev13,GPT-4o,2,22,5,6,3,17,36,58
80,Dev14,GPT-4o,2,20,5,5,4,16,33,55
81,Dev15,GPT-4o,1,20,5,5,4,16,30,21
82,Dev16,GPT-4o,1,20,5,5,4,15,30,17
83,Dev17,GPT-4o,1,20,5,5,4,15,30,15
84,Dev18,GPT-4o,2,22,5,5,5,17,33,37
85,Dev19,GPT-4o,4,24,5,5,3,19,39,85
